Data,Total
1703980800,9951
1703376000,9253
1702771200,8872
1702166400,8519
1701561600,8841
1700956800,8368
1700352000,8496
1699747200,8168
1699142400,7663
1698537600,7685
1697932800,7572
1697328000,7560
1696723200,7798
1696118400,7483
1695513600,7365
1694908800,7310
1694304000,7608
1693699200,7838
1693094400,8631
1692489600,7804
1691884800,7714
1691280000,7630
1690675200,7478
1690070400,7824
1689465600,7669
1688860800,7412
1688256000,7712
1687651200,7430
1687046400,7579
1686441600,7639
1685836800,7544
1685232000,7751
1684627200,7552
1684022400,7531
1683417600,7584
1682812800,8110
1682208000,8014
1681603200,8174
1680998400,8085
1680393600,8300
1679788800,8374
1679184000,8917
1678579200,9669
1677974400,9590
1677369600,9638
1676764800,9818
1676160000,10177
1675555200,10167
1674950400,9717
1674345600,9902
1673740800,10064
1673136000,9982
1672444800,9656
1671840000,9717
1671235200,9466
1670630400,9422
1670025600,8981
1669420800,8498
1668816000,8390
1668211200,8187
1667606400,7643
1667001600,7904
1666396800,8115
1665792000,7743
1665187200,7931
1664582400,7495
1663977600,7339
1663372800,7567
1662768000,7615
1662163200,7645
1661558400,8154
1660953600,8080
1660348800,9249
1659744000,9437
1659139200,9925
1658534400,10965
1657929600,10856
1657324800,9067
1656720000,8566
1656115200,8520
1655510400,9308
1654905600,8140
1654300800,8116
1653696000,8194
1653091200,8881
1652486400,8800
1651881600,8478
1651276800,8468
1650672000,8378
1650067200,8670
1649462400,8665
1648857600,8483
1648252800,8486
1647648000,8535
1647043200,8488
1646438400,8657
1645833600,8887
1645228800,9281
1644624000,10071
1644019200,10848
1643414400,11166
1642809600,10815
1642204800,10626
1641600000,9904
1640908800,9845
1640304000,9780
1639699200,9503
1639094400,9017
1638489600,9386
1637884800,8846
1637280000,8793
1636675200,8717
1636070400,7821
1635465600,8179
1634860800,7744
1634256000,7586
1633651200,7526
1633046400,7548
1632441600,7430
1631836800,7504
1631232000,7895
1630627200,7936
1630022400,8214
1629417600,8766
1628812800,8860
1628208000,8642
1627603200,8362
1626998400,8481
1626393600,7563
1625788800,7544
1625184000,7557
1624579200,7285
1623974400,7799
1623369600,7710
1622764800,7353
1622160000,7437
1621555200,7606
1620950400,7738
1620345600,8062
1619740800,7867
1619136000,8084
1618531200,7947
1617926400,8080
1617321600,8195
1616716800,8189
1616112000,8077
1615507200,8318
1614902400,8542
1614297600,9032
1613692800,9488
1613088000,10368
1612483200,11571
1611878400,12701
1611273600,12950
1610668800,11858
1610064000,10470
1609891200,9524
1609286400,9015
1608681600,9287
1608076800,9534
1607472000,9541
1606867200,9534
1606262400,9695
1605657600,10030
1605052800,10316
1604448000,9596
1603843200,9470
1603238400,8594
1602633600,8593
1602028800,8188
1601424000,8064
1600819200,8168
1600214400,7998
1599609600,7777
1599004800,7954
1598400000,7886
1597795200,8170
1597190400,8394
1596585600,8589
1595980800,7827
1595376000,7562
1594771200,7732
1594166400,7635
1593561600,7512
1592956800,7032
1592352000,6849
1591747200,7144
1591142400,7620
1590537600,7643
1589932800,7536
1589328000,8458
1588723200,9008
1588118400,10452
1587513600,13244
1586908800,17325
1586304000,20967
1585699200,19828
1585094400,12843
1584489600,9481
1583884800,8465
1583280000,8379
1582675200,8413
1582070400,8839
1581465600,9192
1580860800,9974
1580256000,9954
1579651200,9917
1579046400,9398
1578441600,8710
1577750400,8333
1577145600,8393
1576540800,8340
1575936000,8021
1575331200,8328
1574726400,8217
1574121600,8036
1573516800,7677
1572912000,7698
1572307200,7543
1571702400,7314
1571097600,7312
1570492800,6978
1569888000,7027
1569283200,6996
1568678400,6939
1568073600,6904
1567468800,6898
1566864000,6920
1566259200,7128
1565654400,7317
1565049600,7136
1564444800,7464
1563840000,7301
1563235200,7463
1562630400,8050
1562025600,7570
1561420800,7404
1560816000,7016
1560211200,7508
1559606400,7618
1559001600,7436
1558396800,7536
1557792000,7731
1557187200,7744
1556582400,7759
1555977600,7801
1555372800,8055
1554768000,8087
1554163200,8171
1553558400,8027
1552953600,8205
1552348800,8595
1551744000,8920
1551139200,9216
1550534400,9363
1549929600,9686
1549324800,9964
1548720000,10141
1548115200,10476
1547510400,10025
1546905600,9127
1546214400,8650
1545609600,8427
1545004800,8312
1544400000,8051
1543795200,7929
1543190400,7932
1542585600,7999
1541980800,8012
1541376000,7794
1540771200,7327
1540166400,7350
1539561600,7437
1538956800,7210
1538352000,7230
1537747200,7153
1537142400,6834
1536537600,6906
1535932800,6927
1535328000,7015
1534723200,7194
1534118400,8003
1533513600,7731
1532908800,7155
1532304000,7186
1531699200,7366
1531094400,7305
1530489600,7698
1529884800,7713
1529280000,7154
1528675200,7109
1528070400,7306
1527465600,7527
1526860800,7511
1526256000,7595
1525651200,7359
1525046400,7735
1524441600,8112
1523836800,8335
1523232000,8414
1522627200,8628
1522022400,8616
1521417600,8862
1520812800,9203
1520208000,9599
1519603200,9656
1518998400,10105
1518393600,10015
1517788800,9893
1517184000,10324
1516579200,10981
1515974400,10905
1515369600,11204
